province_state,country_region,confirmed,deaths
West Bengal,India,1537890,18291
West Bengal,India,597634,10355
West Bengal,India,713780,10825
West Bengal,India,1564883,18716
West Bengal,India,568103,10115
West Bengal,India,2115688,21514
West Bengal,India,2018405,21202
West Bengal,India,1949074,20265
West Bengal,India,2111857,21492
West Bengal,India,168697,3339
West Bengal,India,75516,1678
West Bengal,India,1493113,17583
West Bengal,India,445505,7873
West Bengal,India,2016581,21191
West Bengal,India,1604193,19314
West Bengal,India,1520468,18027
West Bengal,India,2019291,21203
West Bengal,India,1986667,20515
West Bengal,India,2101075,21414
West Bengal,India,1583646,19021
West Bengal,India,2015253,21178
West Bengal,India,2031164,21219
West Bengal,India,2023587,21212
West Bengal,India,2005872,20823
West Bengal,India,1505394,17799
West Bengal,India,2070858,21276
West Bengal,India,573580,10246
West Bengal,India,1982862,20481
West Bengal,India,165721,3283
West Bengal,India,1518847,18011
West Bengal,India,1519599,18021
West Bengal,India,2017072,21197
West Bengal,India,1628980,19702
West Bengal,India,525918,9145
West Bengal,India,27109,880
West Bengal,India,1604975,19319
West Bengal,India,19170,683
West Bengal,India,2105787,21451
West Bengal,India,2117004,21522
West Bengal,India,2017695,21200
West Bengal,India,2113975,21503
West Bengal,India,630116,10458
West Bengal,India,325028,6119
West Bengal,India,19819,699
West Bengal,India,2118300,21530
West Bengal,India,575921,10273
West Bengal,India,1571841,18837
West Bengal,India,2014061,21159
West Bengal,India,2118020,21527
West Bengal,India,580631,10306
West Bengal,India,2114749,21507
West Bengal,India,574716,10263
West Bengal,India,2019686,21205
West Bengal,India,810955,11248
West Bengal,India,1012604,12461
West Bengal,India,1526539,18123
West Bengal,India,277049,5318
West Bengal,India,2016094,21182
West Bengal,India,1620229,19562
West Bengal,India,2099958,21405
West Bengal,India,571815,10220
West Bengal,India,309417,5870
West Bengal,India,193175,3771
West Bengal,India,2017806,21200
West Bengal,India,502840,8723
West Bengal,India,1549978,18472
West Bengal,India,89666,1954
West Bengal,India,1394724,15813
West Bengal,India,554079,9766
West Bengal,India,2017459,21197
West Bengal,India,2020774,21207
West Bengal,India,993159,12327
West Bengal,India,1301978,14674
West Bengal,India,2018119,21201
West Bengal,India,507995,8820
West Bengal,India,2003692,20758
West Bengal,India,1608393,19364
West Bengal,India,2019356,21204
West Bengal,India,1507241,17834
West Bengal,India,578598,10295
West Bengal,India,1171861,13576
West Bengal,India,2018340,21202
West Bengal,India,2018860,21203
West Bengal,India,257049,4958
West Bengal,India,2017278,21197
West Bengal,India,2093891,21366
West Bengal,India,1536446,18268
West Bengal,India,1593633,19149
West Bengal,India,1563393,18691
West Bengal,India,550893,9683
West Bengal,India,2016473,21188
West Bengal,India,602807,10370
West Bengal,India,2013075,21119
West Bengal,India,397466,7177
West Bengal,India,2017665,21200
West Bengal,India,1547548,18423
West Bengal,India,1448104,16642
West Bengal,India,585305,10325
West Bengal,India,560709,9941
West Bengal,India,23837,804
West Bengal,India,1585466,19045
West Bengal,India,2024479,21216
West Bengal,India,1562173,18664
West Bengal,India,1974285,20411
West Bengal,India,2018922,21203
West Bengal,India,2117527,21527
West Bengal,India,863393,11539
West Bengal,India,1554652,18539
West Bengal,India,700904,10766
West Bengal,India,2108418,21479
West Bengal,India,578347,10292
West Bengal,India,2017874,21200
West Bengal,India,2019405,21204
West Bengal,India,1599879,19252
West Bengal,India,2117911,21527
West Bengal,India,2118472,21531
West Bengal,India,1613451,19439
West Bengal,India,78232,1731
West Bengal,India,24823,827
West Bengal,India,2019231,21203
West Bengal,India,2102932,21423
West Bengal,India,2118321,21531
West Bengal,India,2118143,21529
West Bengal,India,1556157,18567
West Bengal,India,266974,5132
West Bengal,India,2007249,20884
West Bengal,India,177701,3510
West Bengal,India,595576,10348
West Bengal,India,1483586,17390
West Bengal,India,2012008,21079
West Bengal,India,1624161,19620
West Bengal,India,333126,6244
West Bengal,India,586915,10329
West Bengal,India,2118415,21531
West Bengal,India,83800,1846
West Bengal,India,2109331,21482
West Bengal,India,583027,10320
West Bengal,India,1318203,14827
West Bengal,India,2018489,21203
West Bengal,India,2022547,21210
West Bengal,India,113432,2377
West Bengal,India,2117206,21524
West Bengal,India,209146,4062
West Bengal,India,13945,555
West Bengal,India,47030,1182
West Bengal,India,2016917,21197
West Bengal,India,1539065,18312
West Bengal,India,581403,10310
West Bengal,India,2015772,21178
West Bengal,India,1432019,16362
West Bengal,India,234673,4544
West Bengal,India,576838,10280
West Bengal,India,53973,1290
West Bengal,India,15173,591
West Bengal,India,530456,9235
West Bengal,India,582381,10316
West Bengal,India,141837,2851
West Bengal,India,1627490,19676
West Bengal,India,2016369,21186
West Bengal,India,2104950,21445
West Bengal,India,2106524,21460
West Bengal,India,438217,7766
West Bengal,India,317053,5992
West Bengal,India,1468044,17049
West Bengal,India,1619257,19544
West Bengal,India,2020034,21205
West Bengal,India,2098417,21393
West Bengal,India,556384,9841
West Bengal,India,2016815,21194
West Bengal,India,1552071,18502
West Bengal,India,2088988,21339
West Bengal,India,1612741,19430
West Bengal,India,1499783,17708
West Bengal,India,2117878,21527
West Bengal,India,579156,10298
West Bengal,India,1502706,17758
West Bengal,India,1511205,17903
West Bengal,India,562072,9975
West Bengal,India,1354956,15268
West Bengal,India,2012475,21094
West Bengal,India,2019191,21203
West Bengal,India,1546237,18410
West Bengal,India,2014567,21169
West Bengal,India,678172,10652
West Bengal,India,543214,9505
West Bengal,India,2118426,21531
West Bengal,India,1437446,16460
West Bengal,India,2118212,21530
West Bengal,India,566898,10089
West Bengal,India,2017682,21200
West Bengal,India,20488,717
West Bengal,India,1627930,19688
West Bengal,India,1551364,18491
West Bengal,India,1629530,19707
West Bengal,India,2106019,21454
West Bengal,India,570581,10195
West Bengal,India,584666,10324
West Bengal,India,2068199,21271
West Bengal,India,125922,2581
West Bengal,India,1452987,16731
West Bengal,India,135596,2737
West Bengal,India,2045781,21236
West Bengal,India,1597765,19215
West Bengal,India,2017035,21197
West Bengal,India,14358,569
West Bengal,India,573193,10239
West Bengal,India,2118083,21528
West Bengal,India,845878,11447
West Bengal,India,547443,9598
West Bengal,India,2117737,21527
West Bengal,India,1553928,18531
West Bengal,India,357779,6604
West Bengal,India,456361,8025
West Bengal,India,539996,9439
West Bengal,India,578064,10288
West Bengal,India,2107888,21473
West Bengal,India,1615378,19473
West Bengal,India,305697,5808
West Bengal,India,2018763,21203
West Bengal,India,2118397,21531
West Bengal,India,1817585,19959
West Bengal,India,67692,1536
West Bengal,India,523629,9100
West Bengal,India,1133430,13284
West Bengal,India,2118122,21529
West Bengal,India,573387,10242
West Bengal,India,413112,7403
West Bengal,India,2115445,21513
West Bengal,India,583839,10322
West Bengal,India,2042831,21233
West Bengal,India,1597095,19201
West Bengal,India,2018984,21203
West Bengal,India,2117701,21527
West Bengal,India,570787,10199
West Bengal,India,577788,10287
West Bengal,India,2107977,21475
West Bengal,India,1527250,18128
West Bengal,India,2016192,21184
West Bengal,India,470498,8224
West Bengal,India,728061,10884
West Bengal,India,1538563,18303
West Bengal,India,1958265,20302
West Bengal,India,1564139,18703
West Bengal,India,86754,1902
West Bengal,India,600024,10363
West Bengal,India,247425,4781
West Bengal,India,2022842,21212
West Bengal,India,1582813,19007
West Bengal,India,1817585,19959
West Bengal,India,2018374,21202
West Bengal,India,567714,10107
West Bengal,India,60830,1411
West Bengal,India,1114313,13137
West Bengal,India,2100477,21410
West Bengal,India,2032663,21222
West Bengal,India,2019329,21204
West Bengal,India,1494949,17612
West Bengal,India,369671,6784
West Bengal,India,2006513,20852
West Bengal,India,202708,3945
West Bengal,India,490070,8527
West Bengal,India,1457273,16812
West Bengal,India,2118404,21531
West Bengal,India,1609118,19376
West Bengal,India,2017541,21199
West Bengal,India,215580,4183
West Bengal,India,2081728,21307
West Bengal,India,2114521,21506
West Bengal,India,2013553,21143
West Bengal,India,1515599,17970
West Bengal,India,2018012,21201
West Bengal,India,2115045,21509
West Bengal,India,1561014,18641
West Bengal,India,486799,8476
West Bengal,India,571636,10215
West Bengal,India,1602446,19294
West Bengal,India,743950,10941
West Bengal,India,1882761,20052
West Bengal,India,2062293,21260
West Bengal,India,2115226,21511
West Bengal,India,1498305,17679
West Bengal,India,569459,10155
West Bengal,India,2018012,21201
West Bengal,India,2016675,21192
West Bengal,India,577267,10283
West Bengal,India,36117,1023
West Bengal,India,237869,4606
West Bengal,India,2113246,21496
West Bengal,India,183865,3620
West Bengal,India,668353,10606
West Bengal,India,1561649,18652
West Bengal,India,1529295,18161
West Bengal,India,575487,10270
West Bengal,India,573910,10251
West Bengal,India,2116139,21517
West Bengal,India,313188,5931
West Bengal,India,2095210,21376
West Bengal,India,1510208,17886
West Bengal,India,1589042,19096
West Bengal,India,1190867,13733
West Bengal,India,1540989,18337
West Bengal,India,589922,10335
West Bengal,India,2018528,21203
West Bengal,India,2102757,21422
West Bengal,India,1623609,19610
West Bengal,India,212383,4123
West Bengal,India,2107050,21465
West Bengal,India,1556908,18577
West Bengal,India,2118359,21531
West Bengal,India,499697,8677
West Bengal,India,577026,10281
West Bengal,India,1485438,17437
West Bengal,India,569769,10164
West Bengal,India,38011,1049
West Bengal,India,1569070,18793
West Bengal,India,480813,8376
West Bengal,India,104326,2203
West Bengal,India,9768,442
West Bengal,India,1471231,17118
West Bengal,India,578853,10297
West Bengal,India,1426132,16259
West Bengal,India,273679,5255
West Bengal,India,1487363,17475
West Bengal,India,1552576,18515
West Bengal,India,2016842,21195
West Bengal,India,557252,9863
West Bengal,India,2015670,21178
West Bengal,India,2104755,21441
West Bengal,India,162778,3228
West Bengal,India,1545534,18402
West Bengal,India,186956,3677
West Bengal,India,1534360,18240
West Bengal,India,2088988,21339
West Bengal,India,2107260,21468
West Bengal,India,345574,6427
West Bengal,India,2020173,21205
West Bengal,India,585933,10327
West Bengal,India,2109090,21482
West Bengal,India,291194,5563
West Bengal,India,1331249,14975
West Bengal,India,563475,10010
West Bengal,India,12300,506
West Bengal,India,2016976,21197
West Bengal,India,2011569,21061
West Bengal,India,593615,10344
West Bengal,India,1539612,18318
West Bengal,India,558173,9881
West Bengal,India,2017315,21197
West Bengal,India,2020409,21206
West Bengal,India,581865,10312
